SemesterName,Start Date,End Date
2012SP,1/10/2012,5/29/2012
2012SU,5/1/2012,8/27/2012
2012FA,8/28/2012,12/16/2012
2013SP,1/10/2013,5/29/2013
2013SU,5/1/2013,8/27/2013
2013FA,8/28/2013,12/16/2013
2014SP,1/10/2014,5/29/2014
2014SU,5/1/2014,8/27/2014
2014FA,8/28/2014,12/16/2014
2015SP,1/10/2015,5/29/2015
2015SU,5/1/2015,8/27/2015
2015FA,8/28/2015,12/16/2015
2016SP,1/10/2016,5/29/2016
2016SU,5/1/2016,8/27/2016
2016FA,8/28/2016,12/16/2016
2017SP,1/10/2017,5/29/2017
2017SU,5/1/2017,8/27/2017
2017FA,8/28/2017,12/16/2017
2018SP,1/10/2018,5/29/2018
2018SU,5/1/2018,8/27/2018
2018FA,8/28/2018,12/16/2018
2019SP,1/10/2019,5/29/2019
2019SU,5/1/2019,8/27/2019
2019FA,8/28/2019,12/16/2019
